關鍵字,網站,標題,網址,時間
暴雨,news.google.com,,https://news.google.com./read/CBMif0FVX3lxTE13RHNrMEVQQmFVVG5EYjd1c2l0WmVvVlAwSUdaM1hkSGNPbVoxb3VmYzhPQVFUTDdVXy1QcjJtcGRsWEhldERhT1JXLV84S0JUOTdrUFRoWlVTaVZnd2ZHUC1QVjRLMnhFVVl4NU9kOE4zY3d1RGFxOVRIVmxmbWc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
暴雨,news.google.com,,https://news.google.com./read/CBMixwFBVV95cUxOM0dxZnN1d3JKeGI5NWtfQ2s1VEJiWUxYb1M5dFEwZlZmWVFJekFRdlhFNjdtenNqcnMzeVQ0QTRYd1B3M1Mya1pCa2paTmNoZWhEOWlQdlM3QTZ1QzZ4Q0VmdnhRMDlmcGlHNGlFdXFVMGhncHJFdzB2S2xQYlpUUTdjRWhUTDNiUy1nRDVRd3NhYVdUdWpLa3FERjVjdTVmTlpKU0hUSEM4bGRpUFd3dEVqZFh0QnlEdFlKeGZyei1BLWZETU1Z?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
暴雨,news.google.com,,https://news.google.com./read/CBMikwFBVV95cUxPeWJIb25DZnJlR2doaUFabzlJaWZQckFIV0lyWjhVTHFQT1lzWlhTRDYtNHAxWDZjVEdxbXNJM2hsaTdRd1ZQQVVma0tNeVRLUnVFLXBlQkd1TEtCSlhQUHplbHY0cEFNQnkzLVhlMnk5ZFBfUWdIZ2NSTnA1UDZtbkhkY01qc1I4WjNiV1JoZVZEQ1E?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
暴雨,news.google.com,,https://news.google.com./read/CBMimgFBVV95cUxOYVg5Z1RDNmJOQ0htei1QMjF5Q2NtY2ZIVEZVV1Z6RTdTSW4xbWtyWDBxOFdhel9NYkJMczUxVXZNQ1JqdjdwNnFTNVFLUC1Ja2xEVzgzOWtIUThPbWI0SXR4TElNVE0yeWE5YnVsWm00WGI4S05Ib2hoN0hYcUpRMkhicWVpYzI4UVdWRDhVTHZVSzEwLU9pRlJB?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
淹水,news.google.com,,https://news.google.com./read/CBMi0AFBVV95cUxNcHRzUXU1LWpZTy1Vbk12ZlhRNFFWU2s4bmZRZElzemYyYVl0S2JBRnBONmFYcnlmUTJxbS1TbER4T0dvVEhPZFlXTlZRRkRweWZQVGtnS0psV1d4V2NzZW5ycVF2OEpHSG1vU2NLMTlFcUI5ZjQ4bG1vN3pMZkdPVnU0VXN6RnFpZFhPSjRjblRhVUVYajhQdU1kMm9fWWp6TE1HSnloSWUtcEdFSWlTWHZNTUxSbTV6M3MyTXBCVklBUXBVUFktTWxiZ2RVRHFJ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
淹水,news.google.com,,https://news.google.com./read/CBMiSEFVX3lxTE5EcW5DSU9XTzJhYnd2NXJmd2ZhOWVwLU9PZWpGd0ZDS3I5TjdxcC1pcWdJZEMySHFDbGlvMXVHRDA4N2hNbTMwZg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
淹水,news.google.com,,https://news.google.com./read/CBMiUEFVX3lxTE5WRjM2Nnhxb2NoUDRGaDF3T010cUZaU1k4Rjlva1gxRUY4NjVRMlNlWmgyZkRfbk1EWW1oTlRiTmU4SURMWEtMaWJtVEVJSjFZ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
淹水,news.google.com,,https://news.google.com./read/CBMi4wNBVV95cUxQVDdvV081ejJfdlh1UTFUakNHSk9uclRBTU9MSC1PUGVULTlaS0hHblVFSWlkQUdUenlnU0dKWnhjNnpCNnJsTUN5UE1ZQUdSNnYtdFQ1b3NHZllaOXBCTmlwMmtqc3llNkZLT2U5XzQyRzVmN0lfSzZtT0lBei1Rb2VPUjN6cWlxT1ZnOTZlbzZ3T3JWSDIyeGM3dzRYTG95bUFkQ0VnZ19TN1JIU3FwWHdWdnVhd3VxSF9yY3BnU1FuOFo5OXQ0b3ZuMFlaR3RIenBnckU4dUh4SDIwTFVPZ0FaWUI4VW5kREFPdXVfVV9ZREJ6NlF5T0NETGlNay1mT3U0ZWxzd3RCekdvTEJITTRmdmNRUmJRdUxIQV9nVGJ6OEU2UXFrZjI0NS1CV01wdVYweXJTbHgyVnZTUlRVVGl3bElLVDNUQWlzWHZBYjFkWHdEanVNT1Nqa3JfMHBOc0tZRWdPV2E2dVpyNThRdXcteVJTNEFibHFYWndBZlE2MG1xOGJNWFJuLTU0dXczM29EZG81eWZpR0FnOHhuSjNUb05MS0dhQnQtY2xDVUZNb1RYd0JZSVMwQ013QktKemRHVWt1VmRWTWQ4SDZMam5uWEVEWFVSSGtIUlU1cFhyMjg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
淹水,news.google.com,,https://news.google.com./read/CBMiXkFVX3lxTFAwMzUtUXNESTNZNlZVeTRXUGxSTnFsLTFoVktSZDI2RkJLR3ZQZXM4ODNTcUd6d2FzY0JWdWstalZveDRtd0s5ODNNS3NNemRJOEpId3prc01KWmVXTXc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
洪水,news.google.com,,https://news.google.com./read/CBMihwFBVV95cUxPTWRzVW90REdKejRpcjRLaUkyVUFITG5ob3g0bEZCU1ZtVGdLMmlGbHVnbWcybjlVOWh0MjVYS3FyeWcyUGg5WTV6a0I2Y19xTGlmeE80WjNxUG1NQlJEdktMUWFYaFVOU3JwQ1ZEZktBZUpWZ0c4Szh6d0k4aExiMDg4MmdjYnc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
洪水,news.google.com,,https://news.google.com./read/CBMiX0FVX3lxTE85d1hjXzJ0a2NzdHpyM3hZWlY1VDRzZGNoQlU2RHltTkdYeVlweEd6cjVBTWk1SE5rVnZRckFlMnJGejBsVDdvNmp4TW5ZNkRrcDdTU0Vpa3RfTXNFd0Rj0gFkQVVfeXFMT3lUWTJXcHdhUDE2eFhFenc0WTltV0FOMjROMFpvd2t6cWRJdG1qT3lrTkdmcDFjQU1mSDhuSFB6Nl8zZ3ZHZ25saVJwU3lVMHdMVXJ6ZnJtVTk2UkVUdDMwY3EzRQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
洪水,news.google.com,,https://news.google.com./read/CBMi2AFBVV95cUxNY0tjV1V2ZG9ubFpueUZPNGV3b1l0U193cnpEb2g0NWdxckFpTzFDVTl6T1VKZmJGNFJKaHFZSkNKRjBEaVFvNGtiNkR4QmpsaEk2WS1mLXR6NzRZY3hJM21oSks0ZUt4MzVFSFlaVnk3R1NNb2N2VXhOMEtHcE1UeHdhTGZQTHp5cjRMdXd6N1pjbkFVb3JzczQyTXpSMXl0LW9EdnBhMFpsaXFBcDVkLVNRSU5SdnFITUp2TE9TdHBLQW5Wd0diUlFtdS1EZFRkRkEzSlM1SFc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
洪水,news.google.com,,https://news.google.com./read/CBMiS0FVX3lxTE04Yk80Yk9IcS1VRG5sYWN3dnlid2ozeUk1Nm5HbmpZWl9HZ01PY3RyN3lMSUF4THZkRG9qVWxFWF9hUHB0ZTBndDY1aw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
洪水,news.google.com,,https://news.google.com./read/CBMiZkFVX3lxTE9ZcU14dmpINk54bEZWYnkzTndQcExBZ09vMmh0QXAyNlFZZUdGS19yZnZBUDFVbWw1bWEyLXZyVVlhdEZzRGVBSXNOeG5fb0hJYlY5V0FYaWtsVkxXT09XaTZVR1dLQdIBa0FVX3lxTE5LMzVLU3E4MHNKczlmTFJuekhjb0Jvd0ktNHdUa0RRUkM2OVdqMWJ1Z0ZSa1BxVGpNX1ljbldEckNsZEdVWjllOXlqN1c2WVhmemo4VkdhT2h3V2JmMlZEbmxNTURjTGRxSF93?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
水災,news.google.com,,https://news.google.com./read/CBMia0FVX3lxTE8taFJGa2J4QzNPT1BnYVJYdTFwRFd5LVZDUGJPcUNZSDJSVE9xOTVKNEpGVlZ5NWdKX1pTU2hsb0JROXNWNUcyZTM2YXR6UE0wTDRJS2V4cm10OXNzR29XRTE5ck9SOGtCeDhn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
水災,news.google.com,,https://news.google.com./read/CBMiZkFVX3lxTE9ZcU14dmpINk54bEZWYnkzTndQcExBZ09vMmh0QXAyNlFZZUdGS19yZnZBUDFVbWw1bWEyLXZyVVlhdEZzRGVBSXNOeG5fb0hJYlY5V0FYaWtsVkxXT09XaTZVR1dLQdIBa0FVX3lxTE5LMzVLU3E4MHNKczlmTFJuekhjb0Jvd0ktNHdUa0RRUkM2OVdqMWJ1Z0ZSa1BxVGpNX1ljbldEckNsZEdVWjllOXlqN1c2WVhmemo4VkdhT2h3V2JmMlZEbmxNTURjTGRxSF93?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
水災,news.google.com,,https://news.google.com./read/CBMidkFVX3lxTE8tdHhuRExVYl92b002OU1aczhNbXdUOFBqQWZfbGJ5eVVKdVRLTm9RQWtBTklnd0swX2lybHhqaGM3YmtEalN6cUl0Z2tBLU1ydG1hOEFJM04zbGZUeUpwWnBKUVFEc014TWhldGE0TG5VTWhTNFE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
水災,news.google.com,,https://news.google.com./read/CBMiYEFVX3lxTE9sOEs2QmxzdE95ZFlheDNTYnRwekc3dmR4Z0ppaFdET0dtdktxdFZWdFlxeEg1R0RVWU5JaFA5Y2hFWDUxVnBhUDVJZXVWajNFNzhyeDdwaGZJV3R3TGJGSg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
水災,news.google.com,,https://news.google.com./read/CBMi4wFBVV95cUxOd28zczdMeVBjQVhDUVlLUWYycHp6dzZ4U3hGbEFEemNPZ3JodmFocXFXbW5Ob3NmTjIxNTlrQmZkaFNfbTYtNS13MUtOQXgtdWZNS2QwYWlrS2RRb0hTS3h5NEFaOS1LVWNTMmRZMkQ4Y2hsUjU2SjVydFg5SFRrY05YdDB2T09MUXdvR0g2VnQtckxBUzNXSHVRMWVCRGpHcUVGTmxHV0htcVJRTkFmeWZ3REdzMXBmSUEzNWN5OHV0QmxQSjFCOTZ2YXV2aXBRTXNFZl9Ha1hPVDJ0NkpZT2Rmbw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颱風,news.google.com,,https://news.google.com./read/CBMiUkFVX3lxTE1ZOFlvb0IwdzBzenRUdk81SVRpZHRxT2NnR3M0cVRhM1ZuWXVBWS1pZGgxZWlTMGQzblhwaHQ2WVgyRllmNzR1Wm5MZUZRMW5DSUE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颱風,news.google.com,,https://news.google.com./read/CBMiZkFVX3lxTE9OYlZmYUdzNHZvOFE4ZlNGazN0c3pXdzJYWjFWeHVhd1BKOXJ1YXZVX3lKSWJETU9qQXZhMU15RGxGeXFMX3lueWhZZEVHVEJjV2Y1N016U3pyZFBNMGdQa24zanhuQdIBa0FVX3lxTE12ejB2VXh4WGNuTnZGVWtBT1JzTzN2azdQT3FpcjZLczB3Tm9OZ1ZVUUJpR0NNSndwY2FSSjRIZGpQU2pZay1nOHE2QVZuMFRWb0tidnExQmphdUQ1V1Y4N0ZvX21xdlpucFQ0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颱風,news.google.com,,https://news.google.com./read/CBMiXkFVX3lxTFBsMUxiV2tXUldWcVVlUDhnUFdxRTd5TW1BYkxtSUU1NkxuSU1JbnVBMzF4Z0Zha1F3M1JKcFZCcV9ZNk00d2plQ2ZLYkxRMTFra3ZkR2djdFVxMDkyWlHSAWhBVV95cUxPVXg2YVd6TWF5eF9IaU1sc0xYV1dpRDdPci1TbUJrOUtDWEFESHdRTlBuS0dYVmJyeVRYVlVFZHFtM2ZYWUJXbExrbkRrMmxZMHJyeE53cVhPVkhiNm9fWXp3TU04d0JhMg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颱風,news.google.com,,https://news.google.com./read/CBMiYEFVX3lxTE1VWXItMXhGWlVkUHhfQXpGbjRSaFNUU0x5S1c5aHo5TjBUanNpeFBHaHhmb09nTjFDYlk5by1NdlpoczhDLWFXVFBEN01fVDlILWRENVBwcnBXb09ZRlAzOA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颱風,news.google.com,,https://news.google.com./read/CBMiggFBVV95cUxQZW95VTB1amRkUmRfN1BZbnJuRVdmREwwNmpVdGE4aEtETlNydnpDVHFGcWFWVE5RaFhZeVVQTHBUZXhoU0RMQXIxY0x0bEs2Z1RZQXRETnM4WW5HdVg0WkZmckkwRkxFMnQtRHZkWHZwcEZEN3laVEVodXVYbC1YMTd3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颶風,news.google.com,,https://news.google.com./read/CBMi2wFBVV95cUxPWFQ0ZG9kNk9HaWVIQ3ptZk4xbWNuWkkzZ280VExRcUttQjd6eGlLTFJPdzAtajRWU2JndWFwZWc2a1o5Y1NZd0tEYUFMWVVXQjduSndMZGpCdW1FcVBmcFJHN09kemJXYzR1YmlReEd6Sk1pcjBmYUhfWDhCREZCZ0xPMnZ3Qzl4LVBwQmZvdXZad0lhZmhkcWVYTnlmSXlOWnA1c01weUctSlBhSzhRRDJKRURheUxOS29rdlFJSnRYN3cxTVYzWXBmcUtZaF9HRDJsU29aaks5MU0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颶風,news.google.com,,https://news.google.com./read/CBMioAJBVV95cUxPUWRIdEstdUl2NWN0WkZlQTg1NWIwQUR4Qk1mYkRicDkzZFh4MDh2S0JhWDl4VEtVNHlwYklTLVdNdHdHWXhLaXVpWlJUcUZWY1FKU21FWTRKa3Uzc25MeEtNdzhfR3lGbFRPTWgyVFptSzI4eFprbG1HZmtEb0tiNXRuMF9SQnMtMUtNc1lLU0g4a1UxZEEwUmZWd1VlSFU4bm5IMWpRTFc5RmNRSENERGhnODByc3k0VWJBZTNwVWlFZXNyV1ZBbmJremUzTmx4QzZ4R2VsVXpnemY3bldOVUFrekVYUThzM0p6SWwwWXlLYXdTZ0RaTlA1VW9rU1lWaFhGeU83U2JEU0dHVnZYd2pIZndRZnFlM0JoTWgyVEw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颶風,news.google.com,,https://news.google.com./read/CBMiVkFVX3lxTE5hU0ZnOWNrTjFRYngtZF94dnJ1dDF3YVAydXZ3VFhIQmJQVjl0LUlUZkQtaWtieHMybnY5YWpha2gtaVpzd0dWcDhOMy1FdENKX0l3ODd3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颶風,news.google.com,,https://news.google.com./read/CBMi4gFBVV95cUxNMUhMNG8tX1FEeWVfdWJOZC1ibC00WS1GSHBOdUxydHJKU2twLUtMeFFRS3lqbWxHSGItaWxlVVBXeGt5WEdzNXVJS29ZaXVyOUZjdGhfam1CVGFabGNSSHhaNUdnbG5TczFLQjJhZW9oQUlNYzJ1ekpld3hUb1dINnZjaEgyQWl0b0F0d0tIYzNxZFJtVWhYUDZPRlFFUkNLVWNZSVFEcnNxbHpRN0pZaUlDN1N3b1FpNHlPZnp5dFVPSFI5RVpYNXljU25rQUs2Z2VLWWtRZlYzVVVFVkJvdTVR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
颶風,news.google.com,,https://news.google.com./read/CBMiX0FVX3lxTE00YTAzMFdRZ2hVOTl4NlVMckJBMG5McDhLVnRuZ2lUOWtQM0M1OS1OazRXZ3pYN3FucGdsRDJXT05jc0VnQ292UWdkbWZjUW5pY0x1cHZubXNHZEFKLV9z0gFkQVVfeXFMTThEVko0elNaVzk4VHd2SlJqYXhBNWFkUVZVemRMb0pidXpkcGp6ZzdGcXU0MmtsVklUNGh2UDhoaHBsVUZpUXJ1MW9Wdkxha0NWNFk3elI0T1hURWJ5c01BSEkzNw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
風災,news.google.com,,https://news.google.com./read/CBMiZkFVX3lxTE9OYlZmYUdzNHZvOFE4ZlNGazN0c3pXdzJYWjFWeHVhd1BKOXJ1YXZVX3lKSWJETU9qQXZhMU15RGxGeXFMX3lueWhZZEVHVEJjV2Y1N016U3pyZFBNMGdQa24zanhuQdIBa0FVX3lxTE12ejB2VXh4WGNuTnZGVWtBT1JzTzN2azdQT3FpcjZLczB3Tm9OZ1ZVUUJpR0NNSndwY2FSSjRIZGpQU2pZay1nOHE2QVZuMFRWb0tidnExQmphdUQ1V1Y4N0ZvX21xdlpucFQ0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
風災,news.google.com,,https://news.google.com./read/CBMirAJBVV95cUxQZTNjcDlHR2Q2Ymt1TFcyVGdwZWdZdDRCSmNuc1FpNW9kMjI5WlVFbW1QWXA5ZFh4VGxJSVdjUEx2ajNtVWVLTGgyNEZFemR1TjE2N1RsdmZHTkVuWDZrOXdUcXgwRnF1YVNyOUJlbUVXMHVqcVNvd2tsOU13cHZ4Nk81WVNZcmQ3YmhudlpIbG1hODktc0FZOGg4MV90dXROS2tqVE1DcU94M2VTRS0tVzJuZzdtQmVZMmE1OGpzLVI5N3ZDTmdLOWk4ejkzN2g3cWJiWWp4bU02YmVnY0RpQlBfU3dQQ2FXQzh6M01ZcmdqNWpRZzBRT2pZZ0lEX1dVYTFfUGkzekNvTDRsMFBXcEhzNmExb19ib3pLdnU4YkZfSmRaeExOVTJOWFY?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
風災,news.google.com,,https://news.google.com./read/CBMiT0FVX3lxTE5zZ3ktcmd3dVR0WDNjRER6Y3NJNWhjcTNRd2c0TlQ0Y1dxNWZnei1uc0w0QVNHYWE1Z0pVM3B2Zk0xeVFQNENaY0hPazJyQ2PSAVRBVV95cUxNM3NwSkZiX0NudVNTdERrT3RPa2VrcVNjc0ZhbVpTUEk5c3F3Ykc0bGFBYmhLdnpFSTNoWUJ5cS0xMW1QVkc5NnV6dmo3QlNyaloyeUM?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
風災,news.google.com,,https://news.google.com./read/CBMiZkFVX3lxTE81YkxYQ3Z2NExiaUFnSmdJVTIxRFAtZDJULVA2OTBWY20wZWJlSnJDczktNm4zTDg5YUplTVo3M2NGOHZwa0h0SkxNdWJMOGI2QVVLY1JvT1ZXWUs0dmtjLTd4TzNtZ9IBa0FVX3lxTE9jMnVTTG1oUXdoT3A4Q1hMMUVXaS1KSkcwMTYtQ29NbVprNEdPMkFCM3dMZGhjQ19YUmxPVlMxME10TUNmc21aTVFiR29BeW1Qem9Ob2pkWnlfVjgwcnlpVVprVGIxb09rT0pN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
風災,news.google.com,,https://news.google.com./read/CBMid0FVX3lxTE95QTBYMUVXX0FrcDZnWm1NX3dJbERPRXJRZWNZNVZkN1dTb3ZIUFlHd0V4ZzBYdDhsMXh6UnVvN1VYQ0JNMURtWFpnUTZoVXEzeXBMSWdhbXlObDJEcGJXc3Rma3FqZFR5aUJQN1NiYU1UOU5pSzlN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
海嘯,news.google.com,,https://news.google.com./read/CBMiZ0FVX3lxTE1MZkJVVExzYTNvajJERXhrS2ItMGl6V05aMklOY0VsM2VBM0M2VndiZXdNQ0ZUa1Bldm9DV1Q0MlNRazR2aGpaWEZTVDVGOE9aZ052NVd6bHo1bTN6NXNnUXRpSXdPUzjSAW9BVV95cUxOckZPVzNmd25WQVVrVDV6bGdUS0pLWmdwbHUtcTlxYm4ya3VkTkxzSjRnZ2VaR0FUSnBRQ2V6U29paFRCS1ZXY0IzMW9uUi1NZGw4X19QdWRJc05DWVdCQXh4clBrVENYdURkT0FYbzQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
海嘯,news.google.com,,https://news.google.com./read/CBMi1wJBVV95cUxQbEdDTjUyR1RQcGJEQk1LVkJRUVhVQjVLempQRU5qZnFVVUlQMVg0ZUNqX3NLajhzanYtMjhzZWRFd0pfcG5ZSmY3MmNtS1V2aGxxQ0hCTWN5Ym0xTFRnMEZLZTNNTGJmaGtJdHdWZWk4SmNtYUR0ZDlBM2xGbDdDWjc1VS0waEY4OGdyc1luTWNzWElHMTlySXVWSHFvd3VQcE9jT1FFSjNRZGpYYmU2RWYwblhhdlJnNUY5UWFFVW9mUjduenFxY2w5UnRTY0tmY241c2NKWnc5UnNld1d4VGxWN1dQYWZoX25xQUlwVjJaQUQ4a2xHaVJtSHF5YVp1LUxKakxJLWtOUWVCSUd6Y1RCSEJIeWxCY2RoR2ZNTnJNQmVZUzk4TU1GNWVERi1yUVJVTnBfZm51YkVVaTFPUFFacktYWVZWWVQ4OU1lUS1WRU5TZ0dV?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
海嘯,news.google.com,,https://news.google.com./read/CBMiXkFVX3lxTE4zSXBCZFhMUEtNRWJVanhBaGVBNEVxRlNiY29UR2Z6T2FGZXg5NGJtM3VUdjgtZ1IxOGIzeHFWRnVxTUc2LTlkaUdvTkhMNkw4WXZibURLeTZUZ3F2TkHSAWhBVV95cUxNR2JLNHl1cFJxS09yOU9DT0tZS3lYbEdVYWZ2WXgwaG94VGI3Q2RNV0V0THJFY3pnTmh2RUZmX2U2OXJaMS1nbFF3OU03bFFVODIyQ1ZMa2FwVWFWWFpNZGg2bFEtaXBMdQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
